जोशी,Joshi
ज्ञांमरु,Gyanmaru
ज्याख्वः,Jyakhwo
ज्योति,Jyoti
ज्वःल्हाः,Jwolhaa
झा,Jha
झांगः,Jhanga
झांगजु,Jhangaju
झ्याः,Jhya
ञासि,Ynasin
डंगोल,Dongol
डण्डेख्या,Dandekhya
तःको,Tako
तःखा,Takha
तःखाछें,Takhachhen
तःमि,Tami
तःसि,Tasi
तक्षकार,Takshakar
तचामो,Tachamo
तजः,Taja
तजले,Tajale
तण्डुकार,Tandukar
तमखु,Tamakhu
तमता,Tamata
तमो,Tamo
तमोत,Tamot
तम्वः,Tamwa
ताक्रा,Takra
ताम्राकार,Tamrakar
ताल्चाभडेल,Talchabhadel
ताल्चाभण्डारी,Talchavhandari
तासि,Taasi
तिकाः,Tika
तिताजु,Titaju
तिमिला,Timila
तुइतुइ,Tuitui
तुइसिँ,Tuisin
तुकंवञ्जार,Tukanbanjar
तुच्छे,Tuchchhe
तुबञ्जाः,Tubanja
तुलाधर,Tuladhar
तुल्सि,Tulsi
तुल्सिबाख्यो,Tulsibakhyo
तुसि,Tusi
तुसुजु,Tusuju
तेपे,Tepe
तोखा,Tokha
तौजले,Taujale
तौदले,Taudale
त्यात,Tyata
त्यातजु,Tyataju
त्वंजु,Twanju
त्वांति,Twanti
त्वाःनाः,Twaana
त्वाकः,Twaka
त्वाति,Twaati
त्वानाबासु,Twanabasu
त्वायना,Twayana
थकु,Thaku
थकुलवट,Thakulawat
थसि,Thasi
थाँजु,Thanju
थाः,Thaa
थापा,Thapa
थिके,Thike
थिमि,Thimi
थुयाजु,Thuyaju
थुसा,Thusa
थुसाजु,Thusaju
थेचोमि,Thechomi
थैब,Thaiba
दथेपुथे,Datheputhe
दनेखु,Danekhu
दनेख्या,Danekhya
दनेगुलु,Danegulu
दर्शन,Darshan
दर्शनधारी,Darshandhari
दलि,Dali
दले,Dale
दहि,Dahi
दाः,Da
दिवाकर,Diwakar
दिस्ति,Disti
दुइं,Duin
दुगु,Dugu
दुगुजु,Duguju
दुमरु,Dumaru
दुम्वः,Dumwo
दुरुखु,Durukhu
दुल्या,Dulya
दुवाः,Duwa
दुवाल,Duwal
दृष्टि,Dristi
देउपाला,Deupala
देउबञ्जार,Deubanjar
देउला,Deula
देवप्रधान,Devpradhan
देशमल्ल,Deshmalla
देशार,Deshar
देशेमरु,Desemaru
देशेमरू,Desemaru
दै,Dai
दैवज्ञ,Daibagya
द्यःला,Dyola
द्यजु,Dyoju
धौबन्जार,Dhaubanjar
द्यौभाजु,Dyoubhaju
द्यौभारि,Dyoubhari
द्वा,Dwa
द्वारे,Dware
धंगु,Dhangu
धंजु,Dhanju
धङ्ग,Dhanga
धनवीर,Dhanbir
धनेख्या,Dhanekhya
धन्केय्,Dhankeya
धन्छा,Dhanchha
धन्जु,Dhanju
धाख्वाः,Dhakhwa
धाजु,Dhaju
धान्यागुलु,Dhanyagulu
धालाछें,Dhalachhen
धावा,Dhawa
धिङ्ग्रि,Dhingri
धुँसिँ,Dhunsin
धुंजु,Dhunju
धुकुछुं,Dhukuchhun
धुख्व,Dhukhwo
धुपिकार,Dhupikar
धुसः,Dhusa
धुसि,Dhusi
धुसुजु,Dhusuju
धेके,Dheke
धेवाजु,Dhewaju
धोंजु,Dhonju
धौगोदा,Dhaugoda
धौबजि,Dhaubaji
धौबञ्जार,Dhaubanjar
धौभडेल,Dhaubhadel
धौभारि,Dhaubhari
धौवडेल,Dhaubadel
ध्याकुराः,Dhyakuraa
ध्याकोछें,Dhyakochhen
ध्याक्व,Dhyakwa
ध्याक्वदुवा,Dhyakwoduwa
ध्वं,Dhwon
ध्वाँजु,Dhwanju
ध्वोंजु,Dhwonju
नकर्मी,Nakarmi
नगरकोटि,Nagarkoti
नरसिं,Narasin
नर्मि,Narmi
नर्सिङ ,Narsing
नर्सिङ्जु,Narsingju
नला,Nala
नांजु,Nanju
नाइजु,Naiju
नाखन्द,Nakhanda
नाखोन्दा,Nakhonda
नागा,Naga
नानिचा,Nanicha
नापित,Napit
नायजु,Nayaju
नायभा,Nayabha
नायभारि,Nayabhari
नाय्,Naye
नालामि,Nalami
नासननि,Nasnani
नेमकुल,Nemkul
नेवाः,Newa
नेवार,Newar
नौ,Nau
नौग्रह,Naugraha
न्याइंच्याइं,Nyainchyain
न्याकुं,Nyakun
न्याखुसि,Nyakhusi
न्याछ्यों,Nyachhyon
न्हसिजु,Nhasiju
न्हाः,Nhaa
न्हाय्‌ताः,Nhayetaa
न्हाय्‌मरु,Nhayemaru
न्हिनेङायेमस,Nhinengayemasa
न्हिसुतु,Nhisutu
न्हुछें,Nhuchhen
न्हुछें प्रधान,Nhuchhen Prdhan
न्हेम्हाफुकि,Nhemhaphuki
पँ,Pan
पःमाय्,Pamay
पउं,Pawn
पकवान,Pakawan
पकान्द्वः,Pakandwo
पकुर,Pakur
पक्का,Pakka
पक्कानेवः,Pakkanewa
पञ्च,Pancha
पमां,Paman
पलाञ्चोके,Palanchoke
पलिखेल,Palikhel
पसःछें,Pasachhen
पसखल,Pasakhala
पहरी,Pahari
पहि,Pahi
पहिजु,Pahiju
पाँघु,Panghu
पाकः,Paka
पाछै,Pachhai
पाछैतःरि,Pachaitari
पाति,Pati
पात्या,Patya
पात्रबंश,Patrabansha
पामुद्यः,Pamudya
पालिखे,Palikhe
पालु श्रेष्ठ,Palu Shrestha
पालुबञ्जार,Palubanjar
पासाछें,Pasachhen
पासि,Pasi
पिखा,Pikha
पिया,Piya
पिला,Pila
पीठाचार्य,Pithacharya
पुँ,Pun
पुतवार,Putawar
पुतुलँ,Putulan
पुलांम्वहः,Pulanmwoha
पुलु,Pulu
पुवा,Puwa
पुसाजु,Pusaju
पेंतगो,Pentago
पोडे,Pode
पोतामहाँ,Potamaha
पोते,Pote
पौं,Paun
पौंजु,Paunju
प्याथ,Pyatha
प्रजापति,Prajapati
प्रधान,Pradhan
प्रधानाङ्ग,Pradhananga
फःसि,Phasi
फसिक्वा,Phasikhwa
फाँगुलु,Phagulu
फाँजु,Phanju
फागः,Phaga
फाजु,Phaju
फिश्कुसि,Fishkusi
फेलु,Phelu
फैजु,Phaiju
फोजु,Foju
फौबञ्जाः,Phaubanjaa
बःखुं,Bakhun
बःसि,Basi
बइबञ्जाः,Baibanjaa
बकुला,Bakula
बके,Bake
बखाद्यो,Bakhadyo
बखुंछें,Bakhunchhe
बजिको,Bajiko
बजिमय,Bajimaya
बजु,Baju
बज्राचार्य,Bajracharya
बञ्जाःघसि,Banjaaghasi
बञ्जारा,Banjara
बतास,Bataas
बदिकर,Badikar
बनमाला,Banmala
बनमालि,Banmali
बनिया,Baniya
बनेपाली,Banepali
बन्देजु,Bandeju
बन्या,Banya
बमनु,Bamanu
बरिया,Bariya
बरुण,Barun
बरे,Bare
बर्यामि,Baryami
बलामि,Balami
बल्ल,Balla
बस्सि,Bassi
बहिदार,Bahidar
